,'A2-A0CM-01A','A2-A0D0-01A','A2-A0D1-01A','A2-A0D2-01A','A2-A0EQ-01A','A2-A0EV-01A','A2-A0EX-01A','A2-A0EY-01A','A2-A0SW-01A','A2-A0SX-01A','A2-A0T1-01A','A2-A0T2-01A','A2-A0T3-01A','A2-A0T6-01A','A2-A0T7-01A','A2-A0YC-01A','A2-A0YD-01A','A2-A0YF-01A','A2-A0YG-01A','A2-A0YI-01A','A2-A0YL-01A','A7-A0CD-01A','A7-A0CE-01A','A7-A0CJ-01A','A7-A13F-01A','A8-A06N-01A','A8-A06Z-01A','A8-A076-01A','A8-A079-01A','A8-A09I-01A','AN-A04A-01A','AN-A0FK-01A','AN-A0FL-01A','AO-A03O-01A','AO-A0J6-01A','AO-A0J9-01A','AO-A0JE-01A','AO-A0JJ-01A','AO-A0JM-01A','AO-A126-01A','AO-A12B-01A','AO-A12D-01A','AO-A12E-01A','AR-A0TR-01A','AR-A0TT-01A','AR-A0TV-01A','AR-A0TX-01A','AR-A0TY-01A','AR-A0U4-01A','AR-A1AQ-01A','AR-A1AV-01A','AR-A1AW-01A','BH-A0AV-01A','BH-A0BV-01A','BH-A0BZ-01A','BH-A0C0-01A','BH-A0DD-01A','BH-A0DG-01A','BH-A0E0-01A','BH-A0E9-01A','BH-A18N-01A','BH-A18Q-01A','BH-A18R-01A','BH-A18U-01A','BH-A18V-01A','C8-A12L-01A','C8-A12P-01A','C8-A12Q-01A','C8-A12T-01A','C8-A12U-01A','C8-A12V-01A','C8-A12W-01A','C8-A12Z-01A','C8-A130-01A','C8-A131-01A','C8-A134-01A','C8-A135-01A','C8-A138-01A','D8-A13Y-01A','D8-A142-01A','E2-A10A-01A','E2-A150-01A','E2-A154-01A','E2-A159-01A','E2-A15A-01A'
GLCM.Ang..2nd.moment..quick.8.11..Layer.1..all.dir..,0.985655186,0.984619584,0.982520524,0.984262296,0.985471565,0.984064786,0.983795658,0.985118691,0.979864075,0.981784438,0.984842,0.98170403,0.97935796,0.979005244,0.980476882,0.992265645,0.986014469,0.985032785,0.992439547,0.98291256,0.982231902,0.981642853,0.99145662,0.981448219,0.985354197,0.981863325,1.008479141,0.986340781,0.983555275,0.987120531,0.992031896,0.987594965,0.979347347,0.987252169,0.985650096,0.981730217,0.98405467,0.980126975,0.984376858,0.981685471,0.99596694,0.990342114,0.99044704,0.987560303,0.97875023,0.980467374,0.981988773,0.97859392,0.983216635,0.981386983,0.989054142,0.983108668,0.978964082,0.983481714,0.984267518,0.985101575,0.983516072,0.981432008,0.979332631,0.980586108,0.988829316,0.985247926,0.986866455,0.983619408,0.983874325,0.991982205,0.995416694,0.996507614,0.994778832,0.995954,0.985927114,0.984769971,0.989566933,0.981463965,0.993855063,0.986671797,0.985688699,0.981408741,0.989099971,0.985100079,0.98710648,0.994333898,0.984533649,0.982017363,0.984430031
Ratio.Layer.3,0.291661695,1.076699234,0.353959256,0.026463875,0,0.542186377,0.005851428,0.111618822,0.067496429,0.603684239,0.269253013,0.626695656,0.425716487,0,0.118301006,0,0.00261476,0.305015658,0,0.102914801,0,0.058423024,0.401353333,0.103712968,0.025019486,0.448209358,0,0.199836488,0.252046449,0.691814917,0.458919195,0.61672873,1.053284672,0.80039234,0.833059522,0.143101902,0.323546798,0.353813494,0.006140258,0.346201062,1.014016483,0.131472922,0.013808742,1.079446313,0.836130646,1.02588763,0.612494612,0.413900343,1.004554278,0.707666298,0.71536232,0.23006353,0.613686479,0.115376755,0.160495639,0.013934404,0.750603677,0.279825981,1.056650638,0.138628044,0.376286392,0.421070589,0.350696378,0.655027327,0.583337129,0.282074622,0,0.110969157,0.232462868,0,0.591561034,0,0,0.335616179,0.005783626,1.041601465,0.008548369,0.26305136,0.703792106,0.062520252,0,0.418773721,0.091944359,1.009939509,0.090093954
HSI.Transformation.Hue.R.Layer.1.G.Layer.2.B.Layer.3.,0.006208976,0.0056356,0.006220644,0.006473838,0.006344865,0.006194552,0.006964512,0.006536636,0.006251031,0.005990946,0.006084954,0.006051102,0.006121504,0.006667947,0.006409248,0.006867541,0.006496184,0.006233217,0.006721135,0.006720581,0.006423303,0.006567747,0.006187404,0.006495321,0.006421865,0.006018661,0.006671032,0.006183691,0.006443533,0.005887064,0.006042238,0.006020975,0.005688013,0.005937221,0.006060919,0.006278233,0.006287519,0.006042738,0.006572869,0.005992014,0.00571814,0.006423007,0.006287008,0.005773177,0.005761436,0.005671442,0.005959391,0.006319675,0.005760971,0.005962193,0.005977031,0.006285811,0.006034117,0.006315468,0.006227569,0.006441016,0.005833501,0.006257456,0.005638802,0.006982734,0.006197904,0.0061407,0.006066658,0.005961317,0.005999686,0.006139577,0.006607184,0.006226327,0.006144757,0.006326245,0.006022399,0.006723183,0.006900526,0.00606095,0.006630845,0.005819297,0.006706499,0.006097675,0.006037441,0.006476362,0.006539232,0.006046133,0.006459362,0.005674895,0.006275873
GLCM.Correlation..quick.8.11..Layer.1..all.dir..,0.868693336,0.866334271,0.857447411,0.864547791,0.857850531,0.863047911,0.849996533,0.864195086,0.836252285,0.835656572,0.876664513,0.850188289,0.831716689,0.834449212,0.846125445,0.872914949,0.871182755,0.855992445,0.887044302,0.847079364,0.854240246,0.854212864,0.893878756,0.863798912,0.876881252,0.836299911,0.902724749,0.863202884,0.876963959,0.870950528,0.872761414,0.876271712,0.842605509,0.855002503,0.876550482,0.871663067,0.845841896,0.834852645,0.852690122,0.848946346,0.876312796,0.89553717,0.910619497,0.864195483,0.815711955,0.836312561,0.872203796,0.830305089,0.842705222,0.867114733,0.87792848,0.857521015,0.831047024,0.830677745,0.854933344,0.848270047,0.850116239,0.848957703,0.842211813,0.86953996,0.87613784,0.86984805,0.881351939,0.870406848,0.855816239,0.895823691,0.902124051,0.903625139,0.893505609,0.906443892,0.855852321,0.867596452,0.891118609,0.86384259,0.876037554,0.865642323,0.877764651,0.861993397,0.866717502,0.866772073,0.876438852,0.884571257,0.873861379,0.844083828,0.862366492
Asymmetry.of.sub.objects..mean..1.,7.220093493,12.21520868,0.048830792,164.1505855,16.17254503,114.6954476,395.0507901,0.075159617,0.924241875,179.1001905,3.343655612,16.83991936,10.10660443,0.096131663,0.062048603,7.205529979,0.115031514,0.057118083,0.061085938,0.114933054,33.62063944,174.7241501,40.27850502,23.26270853,15.79943476,0.089387694,97.0793689,283.5425401,6.435227342,1.395863592,95.45334247,12.13925246,13.52846043,8.428420485,1.986569094,3.855307289,19.05415971,0.05343518,8.786507934,0.050131432,11.60070446,2.970030166,0.056665086,3.154699784,2.310244416,0.019934595,90.40957547,0.087025724,1.590358353,13.89180968,318.47851,31.98720626,2.594538651,0.04737119,0.052529704,1.718012511,0.019490207,0.042981829,0.069791036,0.12298105,0.076152546,NaN,92.22390042,3.946372374,0.519521584,2.95490282,0.082674188,5.162892905,14.04058473,0.553592759,0.071635893,101.0308773,0.129579021,57.24081527,2.435853275,NaN,4.839215062,148.7965355,12.23609931,32.03807425,12.9228641,0.108502922,26.92884097,2.8909973,0.082117486
Rel..Border.to.Image.Border,0.025835165,0.020222419,0.016640553,0.021541002,0.02308446,0.017059235,0.015527484,0.016619178,0.01879732,0.023380279,0.020401449,0.016297177,0.017041588,0.014522923,0.017415933,0.020217545,0.016909135,0.023082795,0.019143492,0.016781566,0.017311758,0.018293415,0.028375572,0.017256837,0.018510175,0.014159824,0.022886792,0.020408037,0.022465684,0.017361392,0.019387074,0.023580011,0.011843844,0.018735832,0.026407745,0.021895333,0.016850019,0.017766011,0.022905376,0.018061104,0.024735838,0.020409773,0.020213034,0.023981067,0.015652532,0.020098029,0.018831692,0.012804639,0.019393725,0.016341321,0.022611652,0.024842392,0.015710434,0.02026974,0.019931743,0.023694968,0.020990441,0.017775537,0.016039669,0.011147842,0.018809951,0.01900407,0.021619266,0.018440202,0.018243942,0.022033941,0.019783202,0.021024969,0.020892848,0.028691995,0.020967628,0.018965663,0.016125655,0.015973783,0.022968878,0.024178398,0.015906949,0.016588754,0.023605085,0.019786277,0.032611682,0.017121548,0.017801819,0.019101402,0.01759317
GLCM.Entropy..quick.8.11..Layer.1..all.dir..,0.490477337,0.477291131,0.472228788,0.486527194,0.462974517,0.470832624,0.475116044,0.464434232,0.44349774,0.488253681,0.480595758,0.463678563,0.463632068,0.46028363,0.466848092,0.480344326,0.468488934,0.467949349,0.477594193,0.47260389,0.460934111,0.483350671,0.486557424,0.484501445,0.455965675,0.472604049,0.473116359,0.478928791,0.48305422,0.460257588,0.484038072,0.460107829,0.472546458,0.46627986,0.488823275,0.47332093,0.45676854,0.468598019,0.463907756,0.416641699,0.482187863,0.457415757,0.483346863,0.494141285,0.457880774,0.481077397,0.454262279,0.448850605,0.483930219,0.465542374,0.488810253,0.490645503,0.468977405,0.469454559,0.46205542,0.485875583,0.464045612,0.442350813,0.462816372,0.465195883,0.483612241,0.491671689,0.478490374,0.468200386,0.481278453,0.462889311,0.445889061,0.470608057,0.447428135,0.482548779,0.466525419,0.474798287,0.484362213,0.47949942,0.476707793,0.487139777,0.478914832,0.440291966,0.472572535,0.473916263,0.493012452,0.463566966,0.469705377,0.432508904,0.446096008
Ratio.to.scene.Layer.1,12.21198678,11.88330661,11.54687455,11.8308721,11.95894189,11.33298328,11.22260394,11.26939811,11.99910035,12.52638523,11.80732675,11.40884453,11.63512003,11.28584477,11.68906589,11.35850837,11.16145822,12.07573172,11.041433,11.26025541,11.25806232,11.43743639,11.88602655,11.45299223,11.43161134,11.14707732,10.93081836,11.54046438,11.83721311,11.40567956,11.15563012,11.93478193,11.12713997,11.29651352,12.61853342,12.23008245,11.16986609,11.71718538,12.24999283,12.0020668,11.66244667,11.43676525,11.3412673,12.00302327,11.60606641,12.28048676,11.74285741,11.79930893,11.62411461,11.27142038,11.53577379,12.2279016,11.63158227,11.60875446,11.64376949,11.98089271,11.98644684,11.68051569,11.67916071,10.95725709,11.2814274,11.40416902,11.52132638,11.85453551,11.34100136,11.50969877,11.08519971,11.20872472,11.15842778,11.77660308,11.61679067,11.25656083,10.94857011,11.26903146,11.49536013,12.11119701,11.11105528,11.58602545,11.80299617,11.57026654,12.91550457,11.01686129,11.35361424,11.92553044,11.49379103
Skewness.Layer.1,0.902496098,0.381997279,0.293920411,0.462534292,0.504455654,0.308911881,0.222441606,0.250719505,0.397018983,0.720363828,0.458282504,0.295674491,0.337620026,0.196919518,0.362322852,0.341257616,0.232275323,0.585422081,0.315995457,0.281019392,0.25862616,0.346251572,0.955657185,0.336015023,0.316329206,0.339669694,0.373460335,0.369769569,0.555623959,0.289081826,0.319174277,0.570223895,0.163784129,0.318429677,0.92345998,0.616196326,0.265990168,0.325095017,0.532596198,0.530370688,0.55513159,0.418076592,0.393000855,0.532759861,0.268575778,0.473994677,0.506903679,0.238824046,0.359383068,0.28906912,0.560239253,0.772213258,0.327899643,0.344143823,0.347803293,0.49730113,0.593836089,0.36378241,0.268100722,0.153707046,0.42916029,0.391678565,0.469345963,0.398374182,0.344383169,0.42300493,0.387431672,0.376986745,0.385133164,0.914886283,0.35172922,0.312986048,0.290601212,0.247266505,0.459320245,0.513430132,0.232051451,0.315662946,0.664639819,0.351934729,3.039755096,0.233522976,0.355772932,0.339994479,0.293403324
Rel..area.of.sub.objects.unclassified..1.,0.084107948,0.077821121,0.082696517,0.0833005,0.082982588,0.082395403,0.085413417,0.084171016,0.085614682,0.083551434,0.087981748,0.083453187,0.085173581,0.08715197,0.085315561,0.082463552,0.08457148,0.082817355,0.083314961,0.087694577,0.081947907,0.085143743,0.083833226,0.08493869,0.082759475,0.077864625,0.083135901,0.084035199,0.085814171,0.081853493,0.080388935,0.082921086,0.085699428,0.082276316,0.085457386,0.082390678,0.085421708,0.085552983,0.084295709,0.083669011,0.082328579,0.087113057,0.090455039,0.083714628,0.084154288,0.084902617,0.083926811,0.085100949,0.084204887,0.083624421,0.081089276,0.080467402,0.084122275,0.081725526,0.085422263,0.082211819,0.083460119,0.084893179,0.08308842,0.08533224,0.082354053,0.085210183,0.08458059,0.087750109,0.084898367,0.084887206,0.086802825,0.083299132,0.085089745,0.084138388,0.083364124,0.083420055,0.082852251,0.085146186,0.08290618,0.081159301,0.085481054,0.087634083,0.082517512,0.084297365,0.081749262,0.084108949,0.086484964,0.083957819,0.084528148
Rel..border.to.brighter.objects.Layer.2,0.902496098,0.381997279,0.293920411,0.462534292,0.504455654,0.308911881,0.222441606,0.250719505,0.397018983,0.720363828,0.458282504,0.295674491,0.337620026,0.196919518,0.362322852,0.341257616,0.232275323,0.585422081,0.315995457,0.281019392,0.25862616,0.346251572,0.955657185,0.336015023,0.316329206,0.339669694,0.373460335,0.369769569,0.555623959,0.289081826,0.319174277,0.570223895,0.163784129,0.318429677,0.92345998,0.616196326,0.265990168,0.325095017,0.532596198,0.530370688,0.55513159,0.418076592,0.393000855,0.532759861,0.268575778,0.473994677,0.506903679,0.238824046,0.359383068,0.28906912,0.560239253,0.772213258,0.327899643,0.344143823,0.347803293,0.49730113,0.593836089,0.36378241,0.268100722,0.153707046,0.42916029,0.391678565,0.469345963,0.398374182,0.344383169,0.42300493,0.387431672,0.376986745,0.385133164,0.914886283,0.35172922,0.312986048,0.290601212,0.247266505,0.459320245,0.513430132,0.232051451,0.315662946,0.664639819,0.351934729,3.039755096,0.233522976,0.355772932,0.339994479,0.293403324
Density.of.sub.objects..stddev..1.,11.70238274,11.28232352,11.46685431,11.52733911,11.99105339,11.02571544,12.04135318,11.31907927,12.04134282,12.09090821,11.84551952,10.97578469,11.33239172,11.86085144,11.84929728,12.11443881,11.30399492,11.81532899,11.11011187,11.3517564,11.08378709,11.21336609,11.3735817,11.35112683,11.56269224,10.92363757,11.21305465,11.45837773,11.2869325,11.10564713,11.10733163,11.60370904,10.78263177,11.00282059,12.1312901,11.92500651,10.91845057,11.46648935,12.9081672,11.67052538,11.1880599,11.4210214,11.26426359,11.48311897,11.15500846,11.57899628,11.34076807,11.56831203,10.9737965,10.79537165,11.1704771,11.7485499,11.46808477,11.37152857,11.6240311,11.85254592,11.38606109,11.63288873,11.21989783,10.99740384,11.12151175,11.27022821,11.30134573,11.46121058,11.14261609,11.41449566,11.34418391,11.14632059,11.05146568,11.71549629,11.34270632,11.04827533,11.43375372,11.15329654,11.98256494,11.56676829,11.1812565,11.58884021,11.39765176,11.38711373,12.92672786,11.05602627,11.35031762,11.4254773,11.654024
Rel..area.of.sub.objects.Dark..1.,0.013778124,0.017691883,0.022060174,0.017767692,0.018586564,0.020855068,0.023765612,0.023740761,0.018802678,0.015574927,0.018760064,0.022089321,0.021129781,0.023475284,0.021231446,0.02230988,0.023227334,0.017384037,0.022295345,0.023380863,0.021315227,0.020422824,0.012685851,0.021175883,0.022262512,0.023101048,0.022695956,0.019684435,0.016993594,0.02147578,0.022395775,0.017993509,0.024265254,0.022012032,0.012390508,0.016094348,0.022527242,0.020384574,0.017309965,0.020775589,0.016322845,0.021425738,0.021804016,0.015849581,0.020953139,0.018330197,0.019138251,0.022906042,0.019312452,0.019829687,0.017705584,0.013607191,0.021144888,0.020586767,0.020759787,0.016462934,0.018582245,0.02006775,0.021591554,0.025692419,0.021787132,0.020948022,0.018364707,0.022371958,0.019343422,0.02014444,0.022900669,0.021013863,0.020808124,0.014135381,0.020417231,0.019656722,0.025195869,0.022755733,0.01990816,0.016442165,0.023953444,0.022682101,0.017484764,0.018674213,0.007400057,0.024720409,0.02086382,0.01833829,0.022322494
Skewness.Layer.3,56.41693157,81.1276377,71.9301251,59.87410556,60.71703851,68.98048875,57.73207298,69.20010212,59.98691078,64.69559212,67.41238104,74.8414456,73.31644274,64.11991654,64.10167095,59.71378061,69.7269604,63.28969786,62.84993663,66.74013619,63.42590218,62.28651381,56.58529861,63.91147153,65.61141892,80.57095404,64.03116543,67.69216195,57.28724554,78.61905953,77.2599771,66.48317569,88.9675422,74.98873219,59.28783563,57.66105555,71.0888605,71.52171245,53.53589325,63.3660453,74.57329374,64.22307969,73.95754847,70.99257433,76.67320279,76.0652878,65.3114306,71.81004837,76.40346073,68.72155761,71.5231194,52.32027855,69.60272754,65.71601148,67.24450997,57.37973511,71.93613286,62.33581725,81.69112376,69.24776038,71.8970091,72.71024866,64.44822019,75.16295435,69.07739275,70.4130029,59.70713839,70.16572567,65.957486,53.66756686,70.9344426,55.00263732,64.40120453,78.76737849,60.07100986,71.19467142,69.97657178,69.25366523,66.36973772,61.77372006,34.54668931,78.26033645,59.94996051,70.07068822,66.26780807
Compactness..polygon.,70.9200137,89.83812925,87.60704227,80.07848471,84.13837005,81.69080299,88.57696536,90.05475517,86.13623384,79.24071757,82.22686602,87.18591149,91.39714789,92.90739191,87.06967609,89.19575969,91.18291483,82.91537458,85.92462987,91.6945954,84.68916784,82.12104069,68.7237205,82.7532242,88.11904187,89.39696027,85.09863511,81.67780243,75.87138509,90.25795853,86.41813697,81.99843351,94.55330446,84.31714568,71.38031859,79.48649627,88.81441027,88.18008882,83.69000458,87.88034783,81.02075899,84.82544093,89.49044899,76.64101799,88.66117073,84.41954097,79.14413996,93.82274699,80.22540906,78.2416226,78.68426089,68.99044546,81.50216502,84.40766349,87.0252939,77.18018615,84.74039123,83.32919572,92.93565908,95.5244838,83.89727361,83.83187255,75.79513993,88.70016301,78.02768049,86.71848968,83.26786163,85.50443492,82.13137539,72.48733355,85.18473665,79.20816755,89.34008749,91.65110205,83.49356779,79.24832933,92.59137015,89.82908101,77.69763147,80.95500778,58.35454893,91.31285757,78.29574945,86.56475827,87.9846308
Mean.Layer.3,63.16398817,91.04405695,81.93532476,67.06397852,73.87673185,76.40050652,67.84654981,79.64471448,76.44641065,74.58820342,77.58617607,84.07697561,84.89034156,77.15505211,76.24901554,69.93432659,79.28166145,74.34683313,69.35575502,75.83094966,72.85174463,68.92114035,62.92796396,70.83759156,77.54084613,88.23462596,71.63903534,75.82286574,63.16788838,89.4535587,83.88935259,78.68249281,96.03430738,84.43126908,68.16221139,69.04068263,80.90273704,82.80683929,68.75195828,83.01565475,82.03063081,75.69339672,81.51001957,77.27730617,88.34810493,85.77004625,76.72497836,84.82586259,82.34262683,75.96325343,77.63299533,58.74458418,79.36410794,75.47263192,79.49428992,65.54059072,82.63433477,76.2892834,93.64998877,77.6091283,78.13381277,78.88649603,72.01200116,86.51076415,75.67665512,81.63177891,70.51323821,78.60177809,76.60820475,61.23292031,81.55325431,61.23606493,71.91568606,87.20165524,70.72517975,79.31823095,77.25148123,85.58818799,74.95864789,70.06334037,41.54443548,88.28126803,67.79057745,87.10465772,80.85967233
StdDev..to.neighbor.pixels.Layer.2..3.,128.8165644,138.7157157,132.2597518,130.2737483,130.5499292,131.8879095,131.1116395,133.411506,130.1079749,130.045705,131.7930847,137.17928,136.548232,131.4064371,131.0064387,129.8693391,133.2359284,132.3361681,130.7304527,130.3130524,130.3974816,129.8539814,129.2101843,130.6744956,133.8048001,143.8555668,132.0808773,131.8558747,129.6819051,139.815833,134.200178,131.0856349,150.1358613,137.6340492,129.2718302,130.754425,134.5952667,133.1165292,131.1120849,135.3629986,133.8654285,132.221893,137.4173857,129.9257686,137.8562193,130.7917346,131.5478382,135.2234727,130.7876169,133.0171217,132.8413173,127.8667602,132.860595,130.2833073,131.9525982,128.9738001,135.3633962,130.6317535,139.0089314,135.0344904,133.9618955,132.3747276,131.3397336,139.1800766,131.562757,133.656922,131.0768726,134.1316355,133.6597364,130.0376308,134.2406979,128.2526906,133.9504503,136.9150199,131.1382475,132.4759479,134.4112956,134.29601,131.7818722,130.4671073,NaN,139.2705181,130.4824373,134.0464678,134.6224684
